---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
JavaScript                           70793        1142666        1641393        5162512
C++                                  11760         798309         665649        4385189
HTML                                 75141         407453          96432        3557813
C/C++ Header                         16549         497840         954270        2364556
Rust                                  8304         243225         437189        2357093
C                                     4020         324505         505858        2163892
JSON                                  2172            867              0        1083011
Python                                5996         216954         255530         821640
Assembly                               561          35569          36803         286485
INI                                  12260          64139            171         211796
XHTML                                 3565          23079           8108         190219
XML                                   1115           3992           2228         180149
Java                                   880          25090          63350         158564
SVG                                   4542           8583          19124         136683
Bourne Shell                           688          21061          23915         127034
YAML                                  1597           7621           6129         117124
CSS                                   1161          20618           8864         112269
IDL                                   1065          14538              0         102355
Markdown                              1250          33478             22          91159
NAnt script                           1793          19738              0          81724
reStructuredText                       961          37662          24189          72048
Objective C++                          204          11813           8890          53768
GLSL                                  1490          10426          10040          34118
m4                                      69           3718           1394          32779
make                                   449           6363           9091          22836
TypeScript                             120           2593           6300          22677
JSX                                    135           2368           1023          21298
TOML                                   796           3177           4777          19184
MSBuild script                          27              1              0          16830
Kotlin                                  45           3362           1046          16124
Perl                                    68           2958           3168          12834
DTD                                     63           3026           4595          11504
Freemarker Template                    133           2365              0          10836
CMake                                   89           1862           2566           9352
TeX                                      1            814           3708           7205
Sass                                    62           1321            196           6808
diff                                    24            579           2356           5627
Windows Module Definition               52            144           1376           4743
C#                                      29            700            737           4723
Pascal                                  17            416           2655           3295
Windows Resource File                   73            615            641           2532
SKILL                                    4             68              2           2419
DOS Batch                               46            378            113           2340
Protocol Buffers                        26            810           2601           2270
Dockerfile                              80            459            350           1939
yacc                                     2            383            348           1919
Ada                                     10            599            560           1681
HLSL                                    30            378            281           1616
SWIG                                     3            281             77           1362
Objective C                             29            328            347           1350
Cython                                   1             59            158           1310
Gencat NLS                               7            125              0           1296
Gradle                                  17            254            314           1073
Bourne Again Shell                      25            203            272            919
Expect                                  10            167            305            758
Vuejs Component                         13             36              0            629
MATLAB                                  12            137            157            621
lex                                      3            148            207            584
Korn Shell                               5             83            165            526
XSLT                                    23             76             21            512
PHP                                      2            140            288            436
Ant                                      1             13             52            411
PowerShell                               6             58             19            406
Elm                                      2            114             29            399
Go                                       2             72            103            326
Handlebars                              21             15              0            300
Lisp                                     2             42             38            258
WebAssembly                             36             23             55            251
awk                                      2             41              8            154
Visual Basic                            13              1              0            150
Haxe                                     2             25              5            137
EJS                                      1              1              0            126
Ruby                                     4             16              5            104
vim script                               1             24             34             80
WiX source                               1             11             25             72
sed                                      7             14             27             71
Fish Shell                               1             18             14             68
C Shell                                  2             14              7             46
SQL                                      2             22             56             45
SAS                                      1             14             22             32
Mako                                     1              0              0             31
Jupyter Notebook                         1              0            149             18
CoffeeScript                             2              7              4             13
R                                        1              8             18             12
D                                        1              4             22              8
Swift                                    1              2              0              7
Elixir                                   1              0             39              6
Stylus                                   1              2              0              5
OpenCL                                   1              0              0              2
ProGuard                                 1              2             15              0
---------------------------------------------------------------------------------------
SUM:                                230585        4011283        4821095       24111486
---------------------------------------------------------------------------------------
