---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
C                                    26437        2615726        2508369       13103997
C/C++ Header                         19109         495973         915239        3754009
D                                     2449              0              3         600508
JSON                                   203              0              0         335239
Assembly                              1320          47199         105480         232030
make                                  2419           8861           9540          38679
Bourne Shell                           402           6853           6180          29251
Perl                                    54           5407           3994          27337
Python                                 114           3634           4017          19668
HTML                                     5            658              0           5431
yacc                                     9            701            375           4646
DOS Batch                              565             83              0           4470
PO File                                  5            791            918           3061
lex                                      8            326            314           2000
C++                                      7            286             77           1844
Bourne Again Shell                      51            352            318           1722
Markdown                                 2            312              0           1411
awk                                     11            170            155           1386
TeX                                      1            108              3            915
Glade                                    1             58              0            603
NAnt script                              2            152              0            561
Cucumber                                 1             28             49            163
Windows Module Definition                2             14              0            102
m4                                       1             15              1             95
CSS                                      1             27             28             72
XSLT                                     5             13             26             61
vim script                               1              3             12             27
Ruby                                     1              4              0             25
INI                                      1              1              0              6
sed                                      1              2              5              5
---------------------------------------------------------------------------------------
SUM:                                 53188        3187757        3555103       18169324
---------------------------------------------------------------------------------------
